"Age" "YearlyIncome" "CommuteDistance" "HouseOwnerFlag" "NumberCarsOwned" "NumberChildrenAtHome" "Region" "EnglishOccupation"
"1" "40" 0.5 2 1 0 0 "Pacific" "Professional"
"2" "40" 0.3125 1 0 1 3 "Pacific" "Professional"
"3" "40" 0.3125 4 1 1 3 "Pacific" "Professional"
"4" "40" 0.375 5 0 1 0 "Pacific" "Professional"
"5" "30" 0.4375 2 1 4 5 "Pacific" "Professional"
"6" "40" 0.375 5 1 1 0 "Pacific" "Professional"
"7" "40" 0.375 5 1 1 0 "Pacific" "Professional"
"8" "40" 0.3125 1 1 2 3 "Pacific" "Professional"
"9" "40" 0.3125 3 1 3 4 "Pacific" "Professional"
"10" "40" 0.375 5 0 1 0 "Pacific" "Professional"
"11" "40" 0.375 5 0 1 0 "Pacific" "Professional"
"12" "40" 0.3125 3 1 4 4 "Pacific" "Professional"
"13" "30" 0.5625 2 1 2 0 "North America" "Management"
"14" "30" 0.5625 1 1 3 0 "North America" "Management"
"15" "40" 0.5625 2 0 3 0 "North America" "Management"
"16" "30" 0.125 5 0 1 0 "North America" "Skilled Manual"
"17" "30" 0.125 5 1 1 0 "North America" "Skilled Manual"
"18" "60" 0.0625 5 1 2 0 "Pacific" "Skilled Manual"
"19" "60" 0.125 5 1 2 0 "Pacific" "Clerical"
"20" "30" 0.1875 5 0 2 0 "North America" "Skilled Manual"
"21" "30" 0.1875 2 0 2 0 "North America" "Skilled Manual"
"22" "30" 0.1875 2 0 1 0 "North America" "Skilled Manual"
"23" "30" 0.1875 5 1 1 0 "North America" "Skilled Manual"
"24" "30" 0.1875 2 1 1 0 "North America" "Skilled Manual"
"25" "30" 0.3125 5 1 2 0 "North America" "Skilled Manual"
"26" "60" 0 2 1 2 1 "Pacific" "Clerical"
"27" "60" 0.125 2 0 2 0 "Pacific" "Clerical"
"28" "60" 0.125 5 1 2 0 "Pacific" "Clerical"
"29" "60" 0.125 2 1 2 0 "Pacific" "Clerical"
"30" "60" 0.125 2 1 2 0 "Pacific" "Clerical"
"31" "50" 0 2 1 2 1 "Pacific" "Clerical"
"32" "60" 0.0625 2 1 2 0 "Pacific" "Skilled Manual"
"33" "60" 0.0625 2 1 2 0 "Pacific" "Skilled Manual"
"34" "50" 0.0625 5 1 2 0 "Pacific" "Skilled Manual"
"35" "60" 0.0625 5 1 2 0 "Pacific" "Skilled Manual"
"36" "60" 0 2 1 2 1 "Pacific" "Clerical"
"37" "30" 0.3125 2 1 2 0 "North America" "Skilled Manual"
"38" "30" 0.1875 5 0 2 0 "North America" "Clerical"
"39" "60" 0 5 1 2 1 "Pacific" "Clerical"
"40" "60" 0.125 5 1 2 0 "Pacific" "Clerical"
"41" "30" 0.125 2 1 2 0 "North America" "Skilled Manual"
"42" "30" 0.3125 2 1 2 0 "North America" "Skilled Manual"
"43" "30" 0.375 1 1 2 0 "North America" "Skilled Manual"
"44" "30" 0.3125 5 1 2 0 "North America" "Skilled Manual"
"45" "60" 0.0625 2 1 2 1 "Pacific" "Clerical"
"46" "60" 0.125 2 0 2 0 "Pacific" "Skilled Manual"
"47" "60" 0.125 5 1 2 0 "Pacific" "Skilled Manual"
"48" "60" 0.125 2 0 2 0 "Pacific" "Skilled Manual"
"49" "60" 0.125 5 1 2 0 "Pacific" "Skilled Manual"
"50" "30" 0.1875 5 1 2 0 "North America" "Clerical"
"51" "60" 0.125 5 1 2 0 "Pacific" "Skilled Manual"
"52" "60" 0.125 2 0 2 0 "Pacific" "Skilled Manual"
"53" "60" 0.1875 5 0 2 0 "Pacific" "Clerical"
"54" "30" 0.3125 2 0 2 0 "North America" "Skilled Manual"
"55" "50" 0.1875 5 1 2 0 "Pacific" "Skilled Manual"
"56" "50" 0.1875 5 1 2 0 "Pacific" "Skilled Manual"
"57" "50" 0.1875 5 1 2 0 "Pacific" "Skilled Manual"
"58" "40" 0.375 2 1 2 0 "Pacific" "Management"
"59" "50" 0.4375 2 1 2 0 "Pacific" "Skilled Manual"
"60" "50" 0.4375 5 1 2 0 "Pacific" "Skilled Manual"
"61" "50" 0.4375 5 1 2 0 "Pacific" "Skilled Manual"
"62" "40" 0.4375 5 1 2 0 "Pacific" "Skilled Manual"
"63" "30" 0.1875 5 1 2 0 "North America" "Skilled Manual"
"64" "30" 0.1875 5 1 2 0 "North America" "Skilled Manual"
"65" "30" 0.1875 5 1 2 0 "North America" "Skilled Manual"
"66" "30" 0.3125 2 0 2 0 "North America" "Skilled Manual"
"67" "30" 0.375 5 1 2 0 "North America" "Professional"
"68" "30" 0.3125 5 1 2 0 "North America" "Professional"
"69" "50" 0.4375 5 1 2 0 "Pacific" "Skilled Manual"
"70" "50" 0.4375 2 0 2 0 "Pacific" "Skilled Manual"
"71" "50" 0.4375 5 1 2 0 "Pacific" "Skilled Manual"
"72" "50" 0.4375 5 1 2 0 "Pacific" "Skilled Manual"
"73" "50" 0.4375 2 0 2 0 "Pacific" "Skilled Manual"
"74" "50" 0.375 5 1 2 0 "Pacific" "Skilled Manual"
"75" "50" 0.375 5 1 2 0 "Pacific" "Skilled Manual"
"76" "50" 0.4375 5 1 2 0 "Pacific" "Professional"
"77" "50" 0.4375 5 1 2 0 "Pacific" "Professional"
"78" "50" 0.4375 2 0 2 0 "Pacific" "Professional"
"79" "30" 0.1875 2 0 2 0 "North America" "Professional"
"80" "40" 0.9375 1 1 2 0 "Pacific" "Management"
"81" "50" 1 1 1 2 0 "Pacific" "Management"
"82" "40" 0.6875 4 1 3 2 "North America" "Management"
"83" "40" 0.75 2 0 3 1 "North America" "Management"
"84" "40" 0.75 2 1 3 1 "North America" "Management"
"85" "50" 0.4375 2 0 2 0 "North America" "Skilled Manual"
"86" "50" 0.3125 5 0 2 0 "North America" "Professional"
"87" "50" 0.375 1 1 0 1 "North America" "Professional"
"88" "50" 0.375 1 0 0 2 "North America" "Professional"
"89" "50" 0.4375 4 1 0 1 "North America" "Management"
"90" "50" 0.4375 4 1 1 1 "North America" "Management"
"91" "40" 0.5 4 1 1 0 "North America" "Professional"
"92" "50" 0.5 5 1 1 0 "North America" "Professional"
"93" "40" 0.5 2 1 0 2 "Pacific" "Professional"
"94" "30" 0.5625 1 1 0 0 "Pacific" "Management"
"95" "40" 0.375 1 0 1 0 "Pacific" "Skilled Manual"
"96" "40" 0.375 5 1 1 0 "Pacific" "Skilled Manual"
"97" "40" 0.3125 5 1 1 0 "Pacific" "Professional"
"98" "40" 0.3125 5 1 1 0 "Pacific" "Skilled Manual"
"99" "50" 0.3125 1 0 1 0 "Pacific" "Skilled Manual"
"100" "50" 0.3125 1 1 1 0 "Pacific" "Professional"
"101" "50" 0.3125 5 1 1 0 "Pacific" "Skilled Manual"
"102" "40" 0.375 1 0 1 0 "Pacific" "Professional"
"103" "40" 0.4375 2 1 4 5 "Pacific" "Professional"
"104" "30" 0.375 5 1 1 0 "Pacific" "Professional"
"105" "40" 0.375 1 0 1 0 "Pacific" "Professional"
"106" "40" 0.375 5 0 1 0 "Pacific" "Professional"
"107" "40" 0.375 5 0 1 0 "Pacific" "Professional"
"108" "40" 0.5 5 1 1 0 "Pacific" "Professional"
"109" "40" 0.375 1 0 2 0 "Pacific" "Professional"
"110" "30" 0.375 1 0 2 0 "Pacific" "Professional"
"111" "40" 0.3125 5 1 1 0 "Pacific" "Skilled Manual"
"112" "40" 0.3125 1 1 1 0 "Pacific" "Skilled Manual"
"113" "40" 0.3125 1 1 1 0 "Pacific" "Skilled Manual"
"114" "40" 0.375 5 1 2 4 "Pacific" "Professional"
"115" "40" 0.375 5 1 2 4 "Pacific" "Skilled Manual"
"116" "40" 0.375 1 1 2 4 "Pacific" "Skilled Manual"
"117" "30" 0.375 5 1 2 4 "Pacific" "Skilled Manual"
"118" "50" 0.375 3 1 3 4 "Pacific" "Skilled Manual"
"119" "50" 0.4375 1 0 1 0 "Pacific" "Skilled Manual"
"120" "70" 0.125 1 0 2 0 "Pacific" "Clerical"
"121" "70" 0.1875 5 1 1 0 "Pacific" "Management"
"122" "50" 0.375 3 1 3 4 "Pacific" "Skilled Manual"
"123" "50" 0.375 5 1 3 4 "Pacific" "Skilled Manual"
"124" "50" 0.375 3 1 3 4 "Pacific" "Skilled Manual"
"125" "40" 0.4375 5 1 1 0 "Pacific" "Skilled Manual"
"126" "50" 0.375 5 1 1 0 "Pacific" "Skilled Manual"
"127" "60" 0 1 0 2 1 "Pacific" "Skilled Manual"
"128" "30" 0.1875 5 1 1 0 "North America" "Skilled Manual"
"129" "30" 0.1875 5 1 1 0 "North America" "Skilled Manual"
"130" "30" 0.1875 5 1 1 0 "North America" "Skilled Manual"
"131" "30" 0.125 5 1 2 0 "North America" "Skilled Manual"
"132" "30" 0.125 1 0 2 0 "North America" "Skilled Manual"
"133" "30" 0.125 5 0 2 0 "North America" "Skilled Manual"
"134" "30" 0.125 1 0 2 0 "North America" "Clerical"
"135" "60" 0 5 1 2 0 "Pacific" "Skilled Manual"
"136" "30" 0.125 5 0 2 0 "North America" "Clerical"
"137" "30" 0.1875 1 0 2 0 "North America" "Skilled Manual"
"138" "30" 0.1875 5 1 2 0 "North America" "Skilled Manual"
"139" "30" 0.1875 1 0 2 0 "North America" "Skilled Manual"
"140" "60" 0.125 5 0 2 0 "Pacific" "Clerical"
"141" "30" 0.125 5 0 2 0 "North America" "Clerical"
"142" "30" 0.1875 1 0 2 0 "North America" "Skilled Manual"
"143" "30" 0.1875 1 0 2 0 "North America" "Skilled Manual"
"144" "30" 0.1875 5 1 2 0 "North America" "Skilled Manual"
"145" "30" 0.1875 1 0 2 0 "North America" "Skilled Manual"
"146" "30" 0.1875 1 0 2 0 "North America" "Skilled Manual"
"147" "70" 0.1875 5 1 2 0 "Pacific" "Management"
"148" "70" 0.3125 1 1 1 0 "Pacific" "Management"
"149" "70" 0.1875 5 1 2 0 "Pacific" "Management"
"150" "70" 0.1875 1 1 2 0 "Pacific" "Management"
"151" "70" 0.1875 5 1 2 0 "Pacific" "Management"
"152" "60" 0.3125 1 0 1 0 "Pacific" "Management"
"153" "30" 0.1875 5 1 2 0 "North America" "Skilled Manual"
"154" "30" 0.1875 5 1 2 0 "North America" "Skilled Manual"
"155" "30" 0.1875 5 1 1 0 "North America" "Skilled Manual"
"156" "30" 0.1875 2 0 1 0 "North America" "Skilled Manual"
"157" "30" 0.1875 2 0 1 0 "North America" "Skilled Manual"
"158" "30" 0.1875 5 1 2 0 "North America" "Skilled Manual"
"159" "30" 0.1875 5 1 2 0 "North America" "Skilled Manual"
"160" "30" 0.1875 2 0 2 0 "North America" "Skilled Manual"
"161" "30" 0.1875 5 0 1 0 "North America" "Skilled Manual"
"162" "30" 0.1875 2 0 1 0 "North America" "Skilled Manual"
"163" "30" 0.1875 5 1 1 0 "North America" "Skilled Manual"
"164" "30" 0.1875 5 1 1 0 "North America" "Skilled Manual"
"165" "30" 0.1875 2 0 1 0 "North America" "Skilled Manual"
"166" "30" 0.3125 2 0 1 0 "North America" "Skilled Manual"
"167" "30" 0.375 1 0 2 0 "North America" "Skilled Manual"
"168" "30" 0.4375 1 0 1 0 "North America" "Management"
"169" "40" 0.4375 1 0 1 0 "North America" "Management"
"170" "40" 0.5 1 1 1 4 "North America" "Management"
"171" "40" 0.5 1 1 1 4 "North America" "Management"
"172" "30" 0.5625 2 1 2 0 "North America" "Management"
"173" "40" 0.5625 2 1 2 0 "North America" "Management"
"174" "40" 0.625 1 0 4 0 "North America" "Management"
"175" "40" 0.625 4 1 0 1 "North America" "Management"
"176" "40" 0.375 5 1 2 0 "North America" "Skilled Manual"
"177" "30" 0.5 2 1 1 4 "North America" "Management"
"178" "60" 0.625 5 1 2 4 "North America" "Management"
"179" "60" 0.5625 2 1 3 3 "North America" "Management"
"180" "50" 0.6875 5 1 3 4 "North America" "Management"
"181" "60" 0.9375 1 1 4 3 "North America" "Management"
"182" "50" 1 1 1 2 3 "North America" "Management"
"183" "60" 0.375 3 1 2 0 "North America" "Management"
"184" "60" 0.375 3 1 2 0 "North America" "Management"
"185" "60" 0.375 3 1 2 0 "North America" "Management"
"186" "60" 0.375 3 1 2 0 "North America" "Management"
"187" "60" 0.375 3 1 2 0 "North America" "Management"
"188" "60" 0.3125 3 1 2 0 "North America" "Management"
"189" "60" 0.3125 2 0 2 0 "North America" "Management"
"190" "60" 0.3125 3 1 2 0 "North America" "Management"
"191" "60" 0.375 3 1 2 0 "North America" "Management"
"192" "60" 0.375 3 1 3 0 "North America" "Management"
"193" "60" 0.3125 4 1 2 0 "North America" "Management"
"194" "60" 0.3125 4 1 2 0 "North America" "Management"
"195" "60" 0.3125 4 1 2 0 "North America" "Management"
"196" "60" 0.3125 3 1 3 0 "North America" "Management"
"197" "60" 0.3125 3 1 3 0 "North America" "Management"
"198" "60" 0.375 2 0 1 1 "North America" "Management"
"199" "60" 0.375 3 1 1 1 "North America" "Management"
"200" "50" 0.375 3 1 1 1 "North America" "Management"
"201" "60" 0.375 2 1 1 1 "North America" "Management"
"202" "60" 0.375 3 1 1 1 "North America" "Management"
"203" "50" 0.4375 2 0 2 0 "North America" "Management"
"204" "50" 0.1875 3 1 2 1 "North America" "Professional"
"205" "60" 0.1875 4 1 2 1 "North America" "Professional"
"206" "60" 0.1875 3 1 2 1 "North America" "Professional"
"207" "60" 0.3125 3 1 1 1 "North America" "Professional"
"208" "60" 0.3125 3 1 1 1 "North America" "Professional"
"209" "60" 0.3125 3 1 0 1 "North America" "Management"
"210" "60" 0.3125 3 1 0 1 "North America" "Management"
"211" "60" 0.375 3 1 2 1 "North America" "Professional"
"212" "50" 0.1875 4 1 2 1 "North America" "Professional"
"213" "60" 0.1875 4 1 2 1 "North America" "Professional"
"214" "60" 0.3125 3 1 2 1 "North America" "Professional"
"215" "60" 0.3125 3 1 2 1 "North America" "Professional"
"216" "50" 0.1875 3 1 2 1 "North America" "Skilled Manual"
"217" "60" 0.3125 3 1 2 1 "North America" "Professional"
"218" "60" 0.3125 3 1 2 1 "North America" "Professional"
"219" "50" 0.3125 4 0 2 1 "North America" "Professional"
"220" "60" 0.3125 3 1 2 1 "North America" "Professional"
"221" "50" 0.3125 3 1 1 1 "North America" "Professional"
"222" "60" 0.375 2 1 1 2 "North America" "Professional"
"223" "60" 0.4375 2 1 1 1 "North America" "Management"
"224" "60" 0.375 4 1 2 1 "North America" "Professional"
"225" "60" 0.375 3 1 2 1 "North America" "Professional"
"226" "50" 0.3125 3 1 1 1 "North America" "Professional"
"227" "50" 0.3125 4 1 1 1 "North America" "Professional"
"228" "50" 0.3125 3 1 2 1 "North America" "Professional"
"229" "60" 0.3125 3 1 2 1 "North America" "Professional"
"230" "60" 0.375 3 1 1 2 "North America" "Professional"
"231" "60" 0.375 4 0 2 2 "North America" "Professional"
"232" "50" 0.3125 3 1 2 1 "North America" "Professional"
"233" "50" 0.3125 4 0 2 1 "North America" "Professional"
"234" "50" 0.375 3 1 2 2 "North America" "Professional"
"235" "50" 0.375 3 1 2 2 "North America" "Professional"
"236" "50" 0.375 3 1 2 2 "North America" "Professional"
"237" "50" 0.375 3 1 2 2 "North America" "Professional"
"238" "50" 0.75 1 0 4 3 "Europe" "Management"
"239" "50" 0.75 1 0 4 3 "Europe" "Management"
"240" "40" 0.75 5 0 2 4 "Europe" "Professional"
"241" "50" 0.9375 5 1 4 3 "Europe" "Professional"
"242" "40" 0.5625 5 1 4 3 "Europe" "Professional"
"243" "50" 0.625 5 1 3 4 "Europe" "Professional"
"244" "50" 0.875 1 1 3 3 "Europe" "Professional"
"245" "40" 1 1 0 3 3 "Europe" "Management"
"246" "50" 0.6875 5 0 4 4 "Europe" "Professional"
"247" "50" 0.6875 5 0 4 4 "Europe" "Professional"
"248" "50" 0.75 1 0 3 4 "Europe" "Professional"
"249" "50" 0.625 3 1 4 4 "Europe" "Professional"
"250" "50" 0.75 1 1 3 4 "Europe" "Professional"
"251" "50" 1 5 1 2 4 "Europe" "Professional"
"252" "70" 0.125 5 0 2 0 "North America" "Professional"
"253" "70" 0.5 4 1 1 0 "North America" "Management"
"254" "60" 0.3125 2 1 2 0 "North America" "Management"
"255" "70" 0.375 5 1 2 0 "North America" "Management"
"256" "70" 0.375 5 1 2 0 "North America" "Management"
"257" "70" 0.375 5 1 2 0 "North America" "Management"
