Age,YearlyIncome,CommuteDistance,HouseOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,Region,EnglishOccupation
45,90000,1-2 Miles,1,0,0,Pacific,Professional
41,60000,0-1 Miles,0,1,3,Pacific,Professional
46,60000,2-5 Miles,1,1,3,Pacific,Professional
43,70000,5-10 Miles,0,1,0,Pacific,Professional
37,80000,1-2 Miles,1,4,5,Pacific,Professional
40,70000,5-10 Miles,1,1,0,Pacific,Professional
40,70000,5-10 Miles,1,1,0,Pacific,Professional
47,60000,0-1 Miles,1,2,3,Pacific,Professional
41,60000,10+ Miles,1,3,4,Pacific,Professional
47,70000,5-10 Miles,0,1,0,Pacific,Professional
47,70000,5-10 Miles,0,1,0,Pacific,Professional
48,60000,10+ Miles,1,4,4,Pacific,Professional
38,100000,1-2 Miles,1,2,0,North America,Management
37,100000,0-1 Miles,1,3,0,North America,Management
43,100000,1-2 Miles,0,3,0,North America,Management
32,30000,5-10 Miles,0,1,0,North America,Skilled Manual
32,30000,5-10 Miles,1,1,0,North America,Skilled Manual
67,20000,5-10 Miles,1,2,0,Pacific,Skilled Manual
61,30000,5-10 Miles,1,2,0,Pacific,Clerical
33,40000,5-10 Miles,0,2,0,North America,Skilled Manual
33,40000,1-2 Miles,0,2,0,North America,Skilled Manual
33,40000,1-2 Miles,0,1,0,North America,Skilled Manual
33,40000,5-10 Miles,1,1,0,North America,Skilled Manual
33,40000,1-2 Miles,1,1,0,North America,Skilled Manual
33,60000,5-10 Miles,1,2,0,North America,Skilled Manual
65,10000,1-2 Miles,1,2,1,Pacific,Clerical
65,30000,1-2 Miles,0,2,0,Pacific,Clerical
65,30000,5-10 Miles,1,2,0,Pacific,Clerical
65,30000,1-2 Miles,1,2,0,Pacific,Clerical
64,30000,1-2 Miles,1,2,0,Pacific,Clerical
59,10000,1-2 Miles,1,2,1,Pacific,Clerical
64,20000,1-2 Miles,1,2,0,Pacific,Skilled Manual
64,20000,1-2 Miles,1,2,0,Pacific,Skilled Manual
58,20000,5-10 Miles,1,2,0,Pacific,Skilled Manual
64,20000,5-10 Miles,1,2,0,Pacific,Skilled Manual
63,10000,1-2 Miles,1,2,1,Pacific,Clerical
32,60000,1-2 Miles,1,2,0,North America,Skilled Manual
34,40000,5-10 Miles,0,2,0,North America,Clerical
63,10000,5-10 Miles,1,2,1,Pacific,Clerical
62,30000,5-10 Miles,1,2,0,Pacific,Clerical
34,30000,1-2 Miles,1,2,0,North America,Skilled Manual
34,60000,1-2 Miles,1,2,0,North America,Skilled Manual
34,70000,0-1 Miles,1,2,0,North America,Skilled Manual
35,60000,5-10 Miles,1,2,0,North America,Skilled Manual
62,20000,1-2 Miles,1,2,1,Pacific,Clerical
61,30000,1-2 Miles,0,2,0,Pacific,Skilled Manual
61,30000,5-10 Miles,1,2,0,Pacific,Skilled Manual
61,30000,1-2 Miles,0,2,0,Pacific,Skilled Manual
61,30000,5-10 Miles,1,2,0,Pacific,Skilled Manual
31,40000,5-10 Miles,1,2,0,North America,Clerical
60,30000,5-10 Miles,1,2,0,Pacific,Skilled Manual
60,30000,1-2 Miles,0,2,0,Pacific,Skilled Manual
60,40000,5-10 Miles,0,2,0,Pacific,Clerical
31,60000,1-2 Miles,0,2,0,North America,Skilled Manual
59,40000,5-10 Miles,1,2,0,Pacific,Skilled Manual
59,40000,5-10 Miles,1,2,0,Pacific,Skilled Manual
58,40000,5-10 Miles,1,2,0,Pacific,Skilled Manual
47,70000,1-2 Miles,1,2,0,Pacific,Management
