BikeBuyer,Age,YearlyIncome,CommuteDistance,HouseOwnerFlag,NumberCarsOwned,NumberChildrenAtHome,TotalChildren,EnglishOccupation,MaritalStatus,Gender,EnglishEducation,Region
1,45,90000,1-2 Miles,1,0,0,2,Professional,M,M,Bachelors,Pacific
1,41,60000,0-1 Miles,0,1,3,3,Professional,S,M,Bachelors,Pacific
1,46,60000,2-5 Miles,1,1,3,3,Professional,M,M,Bachelors,Pacific
1,43,70000,5-10 Miles,0,1,0,0,Professional,S,F,Bachelors,Pacific
1,37,80000,1-2 Miles,1,4,5,5,Professional,S,F,Bachelors,Pacific
1,40,70000,5-10 Miles,1,1,0,0,Professional,S,M,Bachelors,Pacific
1,40,70000,5-10 Miles,1,1,0,0,Professional,S,F,Bachelors,Pacific
1,47,60000,0-1 Miles,1,2,3,3,Professional,M,M,Bachelors,Pacific
1,41,60000,10+ Miles,1,3,4,4,Professional,S,F,Bachelors,Pacific
1,47,70000,5-10 Miles,0,1,0,0,Professional,S,M,Bachelors,Pacific
1,47,70000,5-10 Miles,0,1,0,0,Professional,S,F,Bachelors,Pacific
1,48,60000,10+ Miles,1,4,4,4,Professional,M,M,Bachelors,Pacific
0,38,100000,1-2 Miles,1,2,0,2,Management,M,F,Bachelors,North America
0,37,100000,0-1 Miles,1,3,0,2,Management,M,M,Bachelors,North America
0,43,100000,1-2 Miles,0,3,0,3,Management,S,F,Bachelors,North America
1,32,30000,5-10 Miles,0,1,0,0,Skilled Manual,S,F,Partial College,North America
1,32,30000,5-10 Miles,1,1,0,0,Skilled Manual,M,M,Partial College,North America
1,67,20000,5-10 Miles,1,2,0,4,Skilled Manual,S,F,High School,Pacific
1,61,30000,5-10 Miles,1,2,0,2,Clerical,S,M,Partial College,Pacific
0,33,40000,5-10 Miles,0,2,0,0,Skilled Manual,S,M,High School,North America
1,33,40000,1-2 Miles,0,2,0,0,Skilled Manual,S,M,High School,North America
1,33,40000,1-2 Miles,0,1,0,0,Skilled Manual,S,F,Partial College,North America
1,33,40000,5-10 Miles,1,1,0,0,Skilled Manual,M,M,Partial College,North America
0,33,40000,1-2 Miles,1,1,0,0,Skilled Manual,M,M,Partial College,North America
0,33,60000,5-10 Miles,1,2,0,0,Skilled Manual,M,M,Partial College,North America
1,66,10000,1-2 Miles,1,2,1,2,Clerical,M,M,Partial High School,Pacific
1,65,30000,1-2 Miles,0,2,0,2,Clerical,S,M,Partial College,Pacific
1,65,30000,5-10 Miles,1,2,0,2,Clerical,M,M,Partial College,Pacific
1,65,30000,1-2 Miles,1,2,0,2,Clerical,M,F,Partial College,Pacific
1,65,30000,1-2 Miles,1,2,0,2,Clerical,M,M,Partial College,Pacific
1,59,10000,1-2 Miles,1,2,1,2,Clerical,M,F,Partial High School,Pacific
1,64,20000,1-2 Miles,1,2,0,4,Skilled Manual,M,F,High School,Pacific
1,64,20000,1-2 Miles,1,2,0,4,Skilled Manual,M,F,High School,Pacific
1,58,20000,5-10 Miles,1,2,0,4,Skilled Manual,M,M,High School,Pacific
1,64,20000,5-10 Miles,1,2,0,4,Skilled Manual,M,F,High School,Pacific
1,63,10000,1-2 Miles,1,2,1,2,Clerical,M,F,Partial High School,Pacific
1,33,60000,1-2 Miles,1,2,0,0,Skilled Manual,M,F,Partial College,North America
1,34,40000,5-10 Miles,0,2,0,0,Clerical,S,F,Partial High School,North America
1,63,10000,5-10 Miles,1,2,1,2,Clerical,M,F,Partial High School,Pacific
1,63,30000,5-10 Miles,1,2,0,3,Clerical,M,M,Partial College,Pacific
1,34,30000,1-2 Miles,1,2,0,0,Skilled Manual,M,M,Partial College,North America
1,34,60000,1-2 Miles,1,2,0,0,Skilled Manual,M,F,Partial College,North America
1,34,70000,0-1 Miles,1,2,0,0,Skilled Manual,M,F,Partial College,North America
0,35,60000,5-10 Miles,1,2,0,0,Skilled Manual,M,M,Partial College,North America
1,62,20000,1-2 Miles,1,2,1,2,Clerical,M,M,Partial High School,Pacific
0,61,30000,1-2 Miles,0,2,0,3,Skilled Manual,S,M,High School,Pacific
1,61,30000,5-10 Miles,1,2,0,3,Skilled Manual,M,F,High School,Pacific
1,61,30000,1-2 Miles,0,2,0,3,Skilled Manual,M,F,High School,Pacific
1,61,30000,5-10 Miles,1,2,0,3,Skilled Manual,M,M,High School,Pacific
0,31,40000,5-10 Miles,1,2,0,0,Clerical,S,F,Partial High School,North America
1,60,30000,5-10 Miles,1,2,0,3,Skilled Manual,M,M,High School,Pacific
0,60,30000,1-2 Miles,0,2,0,3,Skilled Manual,S,M,High School,Pacific
1,60,40000,5-10 Miles,0,2,0,2,Clerical,S,F,Partial College,Pacific
1,31,60000,1-2 Miles,0,2,0,0,Skilled Manual,M,F,Partial College,North America
1,59,40000,5-10 Miles,1,2,0,2,Skilled Manual,M,F,Partial College,Pacific
1,59,40000,5-10 Miles,1,2,0,2,Skilled Manual,M,M,Partial College,Pacific
1,58,40000,5-10 Miles,1,2,0,3,Skilled Manual,M,F,Partial College,Pacific
1,47,70000,1-2 Miles,1,2,0,2,Management,M,M,Graduate Degree,Pacific
1,52,80000,1-2 Miles,1,2,0,2,Skilled Manual,M,M,Partial College,Pacific
0,57,80000,5-10 Miles,1,2,0,2,Skilled Manual,S,F,Partial College,Pacific
1,57,80000,5-10 Miles,1,2,0,2,Skilled Manual,M,M,Partial College,Pacific
1,41,80000,5-10 Miles,1,2,0,2,Skilled Manual,M,M,Partial College,Pacific
1,36,40000,5-10 Miles,1,2,0,0,Skilled Manual,M,M,High School,North America
1,36,40000,5-10 Miles,1,2,0,0,Skilled Manual,S,F,High School,North America
1,36,40000,5-10 Miles,1,2,0,0,Skilled Manual,M,M,High School,North America
0,38,60000,1-2 Miles,0,2,0,0,Skilled Manual,M,F,Partial College,North America
0,38,70000,5-10 Miles,1,2,0,0,Professional,M,F,Partial College,North America
0,35,60000,5-10 Miles,1,2,0,0,Professional,S,M,Partial College,North America
0,50,80000,5-10 Miles,1,2,0,2,Skilled Manual,S,F,High School,Pacific
1,50,80000,1-2 Miles,0,2,0,2,Skilled Manual,S,F,High School,Pacific
1,56,80000,5-10 Miles,1,2,0,2,Skilled Manual,M,M,High School,Pacific
0,56,80000,5-10 Miles,1,2,0,2,Skilled Manual,S,F,High School,Pacific
1,56,80000,1-2 Miles,0,2,0,2,Skilled Manual,S,F,High School,Pacific
0,55,70000,5-10 Miles,1,2,0,2,Skilled Manual,S,F,High School,Pacific
0,55,70000,5-10 Miles,1,2,0,2,Skilled Manual,S,M,High School,Pacific
1,54,80000,5-10 Miles,1,2,0,2,Professional,S,F,High School,Pacific
1,54,80000,5-10 Miles,1,2,0,2,Professional,S,M,High School,Pacific
1,54,80000,1-2 Miles,0,2,0,2,Professional,S,F,High School,Pacific
0,32,40000,1-2 Miles,0,2,0,0,Professional,S,F,High School,North America
0,47,160000,0-1 Miles,1,2,0,0,Management,S,M,Graduate Degree,Pacific
1,52,170000,0-1 Miles,1,2,0,0,Management,M,M,Graduate Degree,Pacific
0,45,120000,2-5 Miles,1,3,2,2,Management,M,F,Bachelors,North America
1,45,130000,1-2 Miles,0,3,1,0,Management,S,F,Graduate Degree,North America
1,40,130000,1-2 Miles,1,3,1,0,Management,M,F,Graduate Degree,North America
1,54,80000,1-2 Miles,0,2,0,2,Skilled Manual,S,M,Partial High School,North America
0,54,60000,5-10 Miles,0,2,0,2,Professional,S,F,High School,North America
0,54,70000,0-1 Miles,1,0,1,2,Professional,M,M,Partial College,North America
0,54,70000,0-1 Miles,0,0,2,3,Professional,M,F,Partial College,North America
1,54,80000,2-5 Miles,1,0,1,2,Management,M,M,Bachelors,North America
1,54,80000,2-5 Miles,1,1,1,2,Management,S,F,Bachelors,North America
1,48,90000,2-5 Miles,1,1,0,2,Professional,S,M,Partial College,North America
0,54,90000,5-10 Miles,1,1,0,2,Professional,M,M,Partial College,North America
1,44,90000,1-2 Miles,1,0,2,2,Professional,M,F,Bachelors,Pacific
1,38,100000,0-1 Miles,1,0,0,0,Management,M,F,Graduate Degree,Pacific
0,49,70000,0-1 Miles,0,1,0,1,Skilled Manual,S,M,Partial College,Pacific
